No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
45381,WISEA J234514.71-002122.1,23h45m14.5872s,-00d21m21.811s,356.31078,-0.35605869,G,85220.1313307221,0.28426376,SLS,47.5528293303001,1,0,21,5,1,0,0,0,0,1
45493,WISEA J234101.26+004616.1,23h41m01.2990s,+00d46m16.373s,355.2554128647,0.7712148952,G,160382.96918084,0.53498,SLS,47.6045616926532,2,0,31,3,1,4,0,0,0,1
45504,WISEA J234036.32+003241.8,23h40m36.3231s,+00d32m41.843s,355.1513464,0.5449565,G,12133.7939492428,0.04047398,SLS,47.6090536758826,12,0,56,9,6,8,0,0,0,1
45508,WISEA J234426.57+010559.8,23h44m26.5728s,+01d05m59.816s,356.1107202,1.099949,G,34963.3122026276,0.116625056,SLS,47.6112715000787,10,0,63,7,5,10,1,0,1,1
45512,SDSS J234632.64+003947.6,23h46m32.6450s,+00d39m47.625s,356.6360210983,0.6632292814,G,207336.4639528,0.6916,SLS,47.6128401719924,2,0,19,2,1,4,0,0,0,1
45524,SDSS J234650.14+002037.3,23h46m50.1445s,+00d20m37.376s,356.7089356976,0.3437155733,G,579654.71339216,1.93352,SLS,47.616594570352,9,0,8,2,4,4,0,0,0,1
45526,WISEA J234623.70+004404.2,23h46m23.7000s,+00d44m04.241s,356.5987501,0.7345115,G,82269.2771645527,0.27442077,SLS,47.6181729119086,3,0,34,5,2,4,0,0,0,1
45539,WISEA J234358.34+010714.6,23h43m58.3248s,+01d07m14.583s,355.99302,1.1207177,QSO,649875.910269137,2.1677527,SLS,47.6212003650956,23,0,22,7,11,4,0,1,0,1
45650,WISEA J234410.81-002711.5,23h44m10.8131s,-00d27m11.534s,356.0450549,-0.453204,*,68.5556459139152,0.00022867702,SLS,47.6809528632995,0,0,26,5,1,4,0,0,0,1
45736,2MASS J23443281+0105412,23h44m32.7960s,+01d05m41.146s,356.13665,1.094763,*,6.76229376144347,2.2556584e-05,SLS,47.7188434018694,0,0,14,5,2,4,0,0,0,1
45758,SDSS J234056.92-000505.5,23h40m56.9230s,-00d05m05.502s,355.2371792032,-0.0848618219,G,114298.87253708,0.38126,SLS,47.7293982373136,2,0,19,2,1,4,0,0,0,1
45779,GALEXASC J234624.23+004407.8,23h46m24.1601s,+00d44m07.108s,356.60066708333,0.73530777778,G,161444.23448216,0.53852,SLS,47.7414990325551,2,0,3,2,1,0,0,0,0,1
45813,SDSS J234609.77-000942.4,23h46m09.7738s,-00d09m42.439s,356.5407243144,-0.1617886049,G,132942.9655001,0.44345,SLS,47.762519581987,2,0,23,3,1,4,0,0,0,1
45834,WISEA J234213.72-002248.8,23h42m13.7272s,-00d22m48.847s,355.5571968,-0.3802355,G,154731.551575836,0.5161289,SLS,47.7721583938122,4,0,27,3,1,4,0,0,0,1
45947,[HB89] 2340+008 NED02,23h43m22.9656s,+01d07m29.437s,355.84569,1.1248438,QSO,643391.549298826,2.1461232,SLS,47.8239353466932,30,0,22,7,11,4,0,2,0,1
45977,WISEA J234625.65+004340.4,23h46m25.6559s,+00d43m40.481s,356.6068998,0.7279116,G,68497.0394863007,0.22848153,SLS,47.8413916981303,7,0,42,5,2,6,0,0,1,1
45981,WISEA J234106.55-000850.3,23h41m06.5533s,-00d08m50.351s,355.2773058,-0.1473199,G,120376.23526641,0.4015319,SLS,47.8427111434132,3,0,29,4,2,4,0,0,0,1
46015,WISEA J234317.33-002740.8,23h43m17.3319s,-00d27m40.811s,355.8222164,-0.4613366,QSO,590970.229823141,1.9712645,SLS,47.8580150708446,26,0,27,11,14,4,0,1,0,1
46033,WISEA J234554.18-001414.8,23h45m54.2373s,-00d14m12.375s,356.4759888049,-0.2367709689,G,150393.88448028,0.50166,SLS,47.8653008312861,2,0,31,3,1,4,0,0,0,1
46162,WISEA J234043.47+000058.0,23h40m43.4732s,+00d00m58.061s,355.1811386,0.0161282,*,8.39749913232124,2.8011042e-05,SLS,47.9323475290498,0,0,23,4,1,4,0,0,0,1
46209,SDSS J234322.30+010736.4,23h43m22.3080s,+01d07m36.443s,355.84295,1.1267899,*,8.69170465807395,2.8992406e-05,SLS,47.9548785082865,0,0,5,2,1,4,0,0,0,1
46288,WISEA J234149.63-001928.1,23h41m49.6584s,-00d19m28.621s,355.45691,-0.324617,*,26.6089729913148,8.875798e-05,SLS,47.9940428263918,0,0,21,4,1,4,0,0,0,1
46292,WISEA J234227.83-002439.4,23h42m27.8383s,-00d24m39.409s,355.615993,-0.4109472,G,10978.5847839066,0.036620617,SLS,47.9959333177359,3,0,36,7,2,4,0,0,0,1
46311,WISEA J234459.85-002346.2,23h44m59.8598s,-00d23m46.297s,356.249416,-0.3961938,*,31.0854499907742,0.0001036899,SLS,48.0045943766746,0,0,23,4,1,4,0,0,0,1
46386,WISEA J234636.01+000044.8,23h46m36.0196s,+00d00m44.863s,356.6500817,0.0124621,G,139140.551000937,0.46412292,SLS,48.040738469403,5,0,27,4,2,4,0,0,0,1
46476,WISEA J234209.37-002235.7,23h42m09.3576s,-00d22m35.605s,355.53899,-0.376557,G,20802.2766835201,0.069388926,SLS,48.078545117518,2,0,36,7,2,4,0,0,0,1
46550,WISEA J234623.87+004457.9,23h46m23.8797s,+00d44m57.942s,356.599499,0.7494285,G,82333.4357484892,0.27463478,SLS,48.1178667361219,11,0,62,8,7,10,0,0,1,1
46724,WISEA J234026.96+001802.0,23h40m26.9694s,+00d18m02.075s,355.1123726,0.3005764,G,59018.6032711505,0.19686487,SLS,48.2160968300118,14,0,55,8,7,8,1,1,0,1
46837,WISEA J234427.56-002655.0,23h44m27.5684s,-00d26m55.076s,356.1148687,-0.4486324,G,59929.4057357248,0.19990298,SLS,48.274738171733,1,0,42,7,1,4,0,0,0,1
46902,WISEA J234632.58-000145.3,23h46m32.5121s,-00d01m46.127s,356.6354671098,-0.0294798175,G,253288.65191504,0.84488,SLS,48.3099869480453,2,0,27,2,1,4,0,0,0,1
46904,WISEA J234446.72+010510.0,23h44m46.7472s,+01d05m09.610s,356.19478,1.086003,G,17800.5903077571,0.059376378,SLS,48.3106970846284,1,0,32,5,1,4,0,0,0,1
46932,WISEA J234402.96-002807.3,23h44m02.9671s,-00d28m07.350s,356.012363,-0.4687085,*,23.2019366335051,7.739333e-05,SLS,48.3238668682998,0,0,23,4,1,3,0,0,0,1
46933,WISEA J234558.18+005334.1,23h45m58.1232s,+00d53m34.878s,356.4921800534,0.8930217371,G,208607.58397472,0.69584,SLS,48.3240784637742,2,0,34,4,1,4,0,0,0,1
46965,SDSS J234117.50-001254.1,23h41m17.5003s,-00d12m54.124s,355.3229182659,-0.2150346844,G,143264.81982904,0.47788,SLS,48.3371841119733,2,0,5,1,1,4,0,0,0,1
46984,WISEA J234604.52-001211.5,23h46m04.5230s,-00d12m11.533s,356.5188462,-0.2032036,G,30205.2983071057,0.10075403,SLS,48.3482235029417,1,0,33,5,1,4,0,0,0,1
46986,WISEA J234629.42-000319.0,23h46m29.4463s,-00d03m19.117s,356.6226929556,-0.0553104064,G,218764.55245176,0.72972,SLS,48.3490576041989,2,0,31,3,1,4,0,0,0,1
47031,WISEA J234036.68+000409.1,23h40m36.6832s,+00d04m09.105s,355.152847,0.069196,G,20400.9295303726,0.068050176,SLS,48.371998260291,13,0,63,10,6,8,0,0,0,1
