No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2770,SDSS J234103.23+000759.7,23h41m03.2352s,+00d07m59.732s,355.2634800906,0.1332589321,G,191522.4117933,0.63885,SLS,51.3840208006962,2,0,15,1,1,4,0,0,0,1
2771,DEEP2 33042948,23h34m15.3600s,+00d19m22.299s,353.564,0.32286083333,G,326458.9971391,1.08895,UUN,51.3840979915167,5,0,0,2,3,0,0,0,0,1
2772,DEEP2 33036399,23h34m15.0576s,+00d16m08.392s,353.56274,0.26899777778,G,242940.714143292,0.810362995,UUN?,51.3870734875864,5,0,0,2,1,0,0,0,0,1
2773,WISEA J233434.81-000523.3,23h34m34.8141s,-00d05m23.303s,353.6450591,-0.0898066,G,25437.4170426212,0.08485009,SLS,51.3882202782472,12,0,61,8,4,8,0,0,0,1
2775,SDSS J233543.04+005846.1,23h35m43.0474s,+00d58m46.192s,353.9293642667,0.9794978169,G,92141.2119663,0.30735,SLS,51.3988911874928,2,0,19,2,1,4,0,0,0,1
2776,DEEP2 33036135,23h34m15.2496s,+00d14m01.384s,353.56354,0.23371777778,G,404674.8494313,1.34985,SLS,51.4017211890533,5,0,0,2,3,0,0,0,0,1
2777,DEEP2 33029996,23h34m16.2528s,+00d10m53.454s,353.56772,0.181515,G,320487.13137574,1.06903,SLS,51.4043988716722,5,0,0,2,3,0,0,0,0,1
2778,DEEP2 33029896,23h34m15.8352s,+00d11m50.283s,353.56598,0.19730083333,G,233263.119202858,0.778082013,SLS,51.411763870875,4,0,0,2,3,0,0,0,0,1
2779,SDSS J233437.40+003957.8,23h34m37.4002s,+00d39m57.889s,353.6558344483,0.666080348,G,163213.00998436,0.54442,SLS,51.4139894556674,2,0,15,1,1,4,0,0,0,1
2780,SDSS J233538.52+005758.7,23h35m38.5294s,+00d57m58.726s,353.9105394302,0.9663129644,G,82892.614637,0.2765,SLS,51.4140855366898,2,0,15,1,1,4,0,0,0,1
2782,SDSS J233624.13+010420.3,23h36m24.1304s,+01d04m20.378s,354.1005436378,1.0723274266,G,173034.21090844,0.57718,SLS,51.424618374223,2,0,19,2,1,4,0,0,0,1
2785,DEEP2 33030138,23h34m15.8856s,+00d11m28.917s,353.56619,0.19136583333,G,35713.3755445811,0.119126998,UUN?,51.4334418971043,5,0,0,2,1,0,0,0,0,1
2786,WISEA J233530.05-002310.2,23h35m30.0391s,-00d23m09.066s,353.8751632969,-0.385851823,G,223396.34592786,0.74517,SLS,51.4346225165402,4,0,21,4,3,4,0,0,0,1
2787,WISEA J233541.61-002521.6,23h35m41.6129s,-00d25m21.654s,353.9233871,-0.4226819,G,130967.018419799,0.43685895,SLS,51.4351650426736,3,0,27,3,1,4,0,0,0,1
2792,SDSS J233718.73+010746.5,23h37m18.7339s,+01d07m46.514s,354.3280581315,1.1295874116,G,193698.90503838,0.64611,SLS,51.4663320299368,2,0,22,3,1,4,0,0,0,1
2793,DEEP2 33023699,23h34m16.9848s,+00d09m00.460s,353.57077,0.15012777778,G,213694.769989126,0.712809026,UUN?,51.4665228452739,4,0,0,2,1,0,0,0,0,1
2795,DEEP2 33029763,23h34m16.0320s,+00d10m44.076s,353.5668,0.17891,G,320948.808763135,1.07056999,SLS,51.4768365020407,5,0,0,2,3,0,0,0,0,1
2796,WISEA J233414.83+001827.7,23h34m14.8104s,+00d18m28.746s,353.56171,0.307985,G,225404.95539646,0.75187,UUN,51.4810315171741,5,0,12,3,3,0,0,0,0,1
2797,WISEA J233452.35+004616.5,23h34m52.3517s,+00d46m17.279s,353.7181322391,0.7714666499,G,81855.33273232,0.27304,SLS,51.4823785976636,2,0,31,3,1,4,0,0,0,1
2798,DEEP2 33023417,23h34m18.5664s,+00d06m36.619s,353.57736,0.11017194444,G,271141.892074064,0.904431999,SLS,51.4865125129025,6,0,0,2,3,0,0,0,0,1
2799,SDSS J234106.48+001753.7,23h41m06.4855s,+00d17m53.791s,355.2770231817,0.2982754147,G,321509.42365752,1.07244,SLS,51.4870735794301,2,0,23,3,1,4,0,0,0,1
2801,WISEA J233531.80+005647.0,23h35m31.8098s,+00d56m47.063s,353.8825412,0.9464066,G,25670.4262337149,0.085627325,SLS,51.491128702936,12,0,63,6,3,8,0,0,0,1
2802,SDSS J234106.37+001853.6,23h41m06.3778s,+00d18m53.670s,355.2765742979,0.3149084905,G,154297.18228344,0.51468,SLS,51.4949201315177,2,0,5,1,1,3,0,0,0,1
2804,DEEP2 33036441,23h34m14.5968s,+00d15m50.133s,353.56082,0.26392583333,G,49499.0340318003,0.165111005,UUN?,51.5058960911753,4,0,0,2,1,0,0,0,0,1
2805,WISEA J233416.70+000912.3,23h34m16.7014s,+00d09m12.362s,353.5695894,0.1534341,G,106612.415760379,0.35562074,SLS,51.507728111688,4,0,53,5,3,8,0,0,0,1
2806,WISEA J233418.58+000630.4,23h34m18.5520s,+00d06m30.704s,353.5773,0.10852888889,G,271291.18901794,0.90493,UUN,51.5092632624815,5,0,12,3,3,0,0,0,0,1
2807,DEEP2 33023769,23h34m16.5456s,+00d09m27.734s,353.56894,0.15770388889,G,366094.55801128,1.22116,UUN,51.5101578436642,5,0,0,2,3,0,0,0,0,1
2808,WISEA J233721.81+010754.4,23h37m21.7778s,+01d07m54.179s,354.3407410414,1.1317165398,G,208277.81227092,0.69474,SLS,51.5183008470416,2,0,31,3,1,4,0,0,0,1
2809,WISEA J233545.66+005922.3,23h35m45.6641s,+00d59m22.305s,353.9402673,0.9895294,G,25629.9947238667,0.08549246,SLS,51.5262329826937,15,0,71,8,5,10,1,0,1,1
2810,DEEP2 33023577,23h34m16.6416s,+00d09m08.064s,353.56934,0.15224,G,233622.572458547,0.77928102,UUN?,51.5328694818145,4,0,0,2,1,0,0,0,0,1
2812,DEEP2 33042912,23h34m14.3856s,+00d17m50.510s,353.55994,0.29736388889,G,210242.352248194,0.701293,SLS,51.5679036580713,4,0,0,2,3,0,0,0,0,1
2813,DEEP2 33023481,23h34m17.6736s,+00d07m19.448s,353.57364,0.12206888889,G,103808.534247159,0.346267998,UUN?,51.5723163206368,5,0,0,2,1,0,0,0,0,1
2815,GALEXASC J234017.18+005012.2,23h40m17.1410s,+00d50m11.860s,355.07142083333,0.83662777778,G,393753.41018636,1.31342,SLS,51.5772678880797,2,0,4,2,1,0,0,0,0,1
2816,DEEP2 33036261,23h34m14.4936s,+00d14m08.800s,353.56039,0.23577777778,G,301375.36217824,1.00528,SLS,51.5844524208686,4,0,0,2,3,0,0,0,0,1
2817,WISEA J233414.29+001753.3,23h34m14.2968s,+00d17m54.499s,353.55957,0.29847194444,G,225353.9906786,0.7517,UUN,51.5917375561386,4,0,12,3,2,0,0,0,0,1
2818,WISEA J233623.05-003112.7,23h36m23.0575s,-00d31m12.762s,354.096073,-0.5202119,G,74299.3126561701,0.24783583,SLS,51.5931193910512,1,0,36,6,1,4,0,0,0,1
